episode,reward,length,coverage
0,37.9,1000,0.9829545454545454
1,37.0,1000,0.9857954545454546
2,20.2,1000,0.9801136363636364
3,37.4,1000,0.9914772727272727
4,23.3,1000,0.9602272727272727
5,-61.1,1000,0.8295454545454546
6,31.3,1000,0.9772727272727273
7,40.0,1000,0.9971590909090909
8,17.8,1000,0.9630681818181818
9,10.7,1000,0.9772727272727273
10,-9.7,1000,0.9261363636363636
11,27.8,1000,0.9630681818181818
12,-0.2,1000,0.9573863636363636
13,-26.8,1000,0.9176136363636364
14,32.1,1000,0.9829545454545454
15,47.2,1000,0.9971590909090909
16,36.8,1000,0.9914772727272727
17,30.9,1000,0.9886363636363636
18,11.3,1000,0.9659090909090909
19,17.2,1000,0.9403409090909091
20,28.5,1000,0.9772727272727273
21,43.2,1000,0.9971590909090909
22,22.6,1000,0.96875
23,36.2,1000,0.9857954545454546
24,36.8,1000,0.9857954545454546
25,27.8,1000,0.96875
26,3.9,1000,0.9545454545454546
27,25.7,1000,0.9715909090909091
28,26.4,1000,0.9744318181818182
29,4.3,1000,0.9318181818181818
30,37.6,1000,0.9914772727272727
31,21.0,1000,0.9573863636363636
32,33.6,1000,0.9971590909090909
33,25.2,1000,0.9744318181818182
34,29.7,1000,0.9943181818181818
35,11.8,1000,0.9403409090909091
36,41.0,1000,0.9971590909090909
37,39.2,1000,0.9971590909090909
38,34.2,1000,0.9801136363636364
39,21.0,1000,0.9573863636363636
40,32.0,1000,0.9914772727272727
41,42.2,1000,0.9971590909090909
42,-459.2,1000,0.11079545454545454
43,28.2,1000,0.9914772727272727
44,19.0,1000,0.9801136363636364
45,15.4,1000,0.9744318181818182
46,26.5,1000,0.9659090909090909
47,-11.1,1000,0.8920454545454546
48,23.1,1000,0.9659090909090909
49,16.4,1000,0.9403409090909091
50,24.2,1000,0.9630681818181818
51,-21.9,1000,0.8636363636363636
52,15.0,1000,0.9460227272727273
53,24.9,1000,0.9602272727272727
54,27.6,1000,0.9801136363636364
55,27.7,1000,0.9772727272727273
56,21.5,1000,0.9488636363636364
57,19.5,1000,0.9602272727272727
58,23.7,1000,0.9659090909090909
59,33.1,1000,0.9943181818181818
60,-0.7,1000,0.9090909090909091
61,18.2,1000,0.9517045454545454
62,24.1,1000,0.9829545454545454
63,37.9,1000,0.9829545454545454
64,17.3,1000,0.9829545454545454
65,34.7,1000,0.9829545454545454
66,33.1,1000,0.9943181818181818
67,-0.0,1000,0.9403409090909091
68,27.7,1000,0.9715909090909091
69,-22.6,1000,0.8721590909090909
70,-72.7,1000,0.8409090909090909
71,5.7,1000,0.9261363636363636
72,41.7,1000,0.9943181818181818
73,34.9,1000,0.9829545454545454
74,-12.1,1000,0.9090909090909091
75,30.5,1000,0.9886363636363636
76,35.5,1000,0.9829545454545454
77,-5.7,1000,0.8977272727272727
78,39.5,1000,0.9943181818181818
79,32.5,1000,0.9715909090909091
80,36.1,1000,0.9829545454545454
81,-48.8,1000,0.8323863636363636
82,-6.7,1000,0.8863636363636364
83,38.6,1000,0.9914772727272727
84,36.6,1000,0.9914772727272727
85,40.8,1000,0.9971590909090909
86,35.3,1000,0.9829545454545454
87,38.2,1000,0.9914772727272727
88,25.7,1000,0.9659090909090909
89,-2.7,1000,0.9431818181818182
90,16.4,1000,0.9403409090909091
