episode,reward,length,coverage
0,-2.1,84,1.0
1,-6.9,95,1.0
2,-68.5,200,0.9090909090909091
3,-65.2,200,0.9545454545454546
4,-39.9,166,1.0
5,-75.9,200,0.9090909090909091
6,-72.3,200,0.9090909090909091
7,-73.0,200,0.8636363636363636
8,-67.0,200,0.9545454545454546
9,-76.1,200,0.8181818181818182
10,-69.6,200,0.9545454545454546
11,-70.6,200,0.9545454545454546
12,-19.1,121,1.0
13,-73.2,200,0.9545454545454546
14,-51.7,195,1.0
15,-81.7,200,0.7272727272727273
16,-68.8,200,0.9545454545454546
17,-76.3,200,0.9090909090909091
18,-33.3,151,1.0
19,-76.7,200,0.9090909090909091
20,-74.3,200,0.9090909090909091
21,-48.9,186,1.0
22,-26.1,135,1.0
23,-71.2,200,0.9545454545454546
24,-79.1,200,0.8181818181818182
25,-69.6,200,0.9545454545454546
26,-44.9,176,1.0
27,-84.9,200,0.6363636363636364
28,-73.5,200,0.9090909090909091
29,-80.2,200,0.8636363636363636
30,-75.7,200,0.8181818181818182
31,-79.6,200,0.6818181818181818
32,-78.5,200,0.8181818181818182
33,-41.9,174,1.0
34,-24.9,137,1.0
35,-69.9,200,0.9090909090909091
36,-27.1,137,1.0
37,-38.3,162,1.0
38,-77.8,200,0.9545454545454546
39,-32.9,149,1.0
40,-72.6,200,0.8636363636363636
41,-71.6,200,0.9545454545454546
42,-74.3,200,0.9090909090909091
43,-43.5,173,1.0
44,-73.2,200,0.8636363636363636
45,-75.6,200,0.8636363636363636
46,-31.3,144,1.0
47,-46.1,178,1.0
48,-42.7,171,1.0
49,-38.7,163,1.0
50,-19.9,118,1.0
51,-69.0,200,0.9545454545454546
52,-76.9,200,0.8181818181818182
53,-76.5,200,0.8181818181818182
54,-70.4,200,0.9545454545454546
55,-28.7,145,1.0
56,-32.5,144,1.0
57,-73.4,200,0.9545454545454546
58,-70.1,200,0.9090909090909091
59,-71.9,200,0.9090909090909091
60,-73.1,200,0.9090909090909091
61,-80.6,200,0.7727272727272727
62,-73.4,200,0.9545454545454546
63,-80.5,200,0.9090909090909091
64,-83.0,200,0.6818181818181818
65,-16.7,121,1.0
66,-73.8,200,0.8636363636363636
67,-45.1,175,1.0
68,3.9,69,1.0
69,2.7,72,1.0
70,-46.5,171,1.0
71,-76.6,200,0.8636363636363636
72,-85.8,200,0.7727272727272727
73,-73.5,200,0.8181818181818182
74,-69.8,200,0.9545454545454546
75,-78.7,200,0.8181818181818182
76,-16.1,118,1.0
77,-18.9,113,1.0
78,-32.5,152,1.0
79,-76.2,200,0.8636363636363636
80,-75.5,200,0.9090909090909091
81,-32.9,150,1.0
82,-27.1,136,1.0
83,-76.9,200,0.8181818181818182
84,-69.4,200,0.9545454545454546
85,-75.6,200,0.8636363636363636
86,-72.4,200,0.9545454545454546
87,-53.9,200,1.0
88,-74.2,200,0.9545454545454546
89,-29.7,146,1.0
90,-57.3,196,1.0
91,-27.3,143,1.0
92,-23.5,132,1.0
93,-0.1,77,1.0
94,-74.3,200,0.9090909090909091
95,-19.9,125,1.0
96,-72.6,200,0.9545454545454546
97,-20.7,124,1.0
98,-69.4,200,0.9545454545454546
99,-77.7,200,0.9090909090909091
100,-54.7,196,1.0
101,-74.8,200,0.9545454545454546
102,-36.5,159,1.0
103,-54.9,192,1.0
104,-14.1,111,1.0
105,18.1,42,1.0
106,-73.0,200,0.9545454545454546
107,-71.6,200,0.9545454545454546
108,-18.9,120,1.0
109,-40.5,165,1.0
110,-17.9,119,1.0
111,-81.8,200,0.7727272727272727
112,-51.5,181,1.0
113,-73.4,200,0.9545454545454546
114,-23.3,132,1.0
115,-51.5,186,1.0
116,-8.9,102,1.0
117,-73.0,200,0.9545454545454546
118,-73.0,200,0.9545454545454546
119,-23.7,129,1.0
120,-75.1,200,0.9090909090909091
121,-70.2,200,0.9545454545454546
122,-41.3,169,1.0
123,-20.9,123,1.0
124,-73.2,200,0.9545454545454546
125,-9.9,100,1.0
126,-37.7,159,1.0
127,-30.5,142,1.0
128,-41.5,168,1.0
129,-51.5,195,1.0
130,-70.5,200,0.9090909090909091
131,-45.7,175,1.0
132,-73.7,200,0.9090909090909091
133,-31.3,147,1.0
134,-19.3,118,1.0
135,0.1,80,1.0
136,-30.7,145,1.0
137,-72.0,200,0.9545454545454546
138,-34.1,143,1.0
139,2.7,75,1.0
140,-71.6,200,0.9545454545454546
141,-79.0,200,0.7727272727272727
142,-0.9,82,1.0
143,-26.1,139,1.0
144,-47.1,188,1.0
145,-74.2,200,0.9545454545454546
146,0.9,80,1.0
147,-76.6,200,0.9545454545454546
148,-7.3,92,1.0
149,-9.5,101,1.0
150,-73.4,200,0.9545454545454546
151,6.7,65,1.0
152,-4.7,88,1.0
153,-75.0,200,0.8636363636363636
154,-72.0,200,0.9545454545454546
155,-70.4,200,0.9545454545454546
156,-26.1,137,1.0
157,-73.0,200,0.9545454545454546
158,-27.5,141,1.0
159,-51.5,186,1.0
160,-71.6,200,0.9545454545454546
161,-40.5,161,1.0
162,-89.6,200,0.6818181818181818
163,-79.4,200,0.8636363636363636
164,-50.1,192,1.0
165,-34.7,147,1.0
166,-68.4,200,0.9545454545454546
167,-75.7,200,0.8181818181818182
168,-78.5,200,0.9090909090909091
169,-47.7,177,1.0
170,-51.1,198,1.0
171,-39.7,163,1.0
172,-9.5,102,1.0
173,-72.2,200,0.9545454545454546
174,-68.6,200,0.9545454545454546
175,-70.6,200,0.9545454545454546
176,-20.3,123,1.0
177,-31.5,149,1.0
178,-13.9,113,1.0
179,-68.4,200,0.9545454545454546
180,-14.9,110,1.0
181,-0.5,81,1.0
182,-30.9,145,1.0
183,-0.7,80,1.0
184,-24.1,128,1.0
185,-73.2,200,0.9545454545454546
186,10.3,59,1.0
187,-46.9,174,1.0
188,-50.1,189,1.0
189,-70.6,200,0.9545454545454546
190,-50.5,182,1.0
191,-69.2,200,0.9545454545454546
192,-70.4,200,0.9545454545454546
193,-77.8,200,0.9545454545454546
194,15.1,50,1.0
195,-84.6,200,0.9545454545454546
196,-24.1,138,1.0
197,-22.5,126,1.0
198,-41.9,175,1.0
199,-11.5,103,1.0
200,-72.0,200,0.9545454545454546
201,3.3,71,1.0
202,-14.1,111,1.0
203,-13.7,110,1.0
204,-73.2,200,0.9545454545454546
205,-14.7,108,1.0
206,-26.5,138,1.0
207,-44.7,169,1.0
208,-33.1,152,1.0
209,-21.5,129,1.0
210,-5.9,90,1.0
211,-31.7,144,1.0
212,-1.3,85,1.0
213,-6.7,95,1.0
214,-53.1,200,1.0
215,-73.8,200,0.9545454545454546
216,-21.9,124,1.0
217,-29.5,141,1.0
218,-69.8,200,0.9545454545454546
219,-38.5,157,1.0
220,-12.5,101,1.0
221,-38.5,166,1.0
222,-81.9,200,0.9090909090909091
223,-36.9,161,1.0
224,-0.3,80,1.0
225,-73.6,200,0.9545454545454546
226,-38.9,160,1.0
227,-125.0,200,0.045454545454545456
228,-48.9,186,1.0
229,-50.3,192,1.0
230,1.5,77,1.0
231,2.9,80,1.0
232,-59.9,187,1.0
233,-0.3,85,1.0
234,-75.5,200,0.8181818181818182
235,-73.4,200,0.9545454545454546
236,-41.1,163,1.0
237,-76.2,200,0.9545454545454546
238,-7.1,96,1.0
239,-35.7,146,1.0
240,-73.4,200,0.9545454545454546
241,1.3,78,1.0
242,-73.1,200,0.9090909090909091
243,-48.5,177,1.0
244,-77.3,200,0.8181818181818182
245,-125.0,200,0.045454545454545456
246,-8.5,97,1.0
247,-71.4,200,0.9545454545454546
248,4.3,73,1.0
249,-25.9,143,1.0
250,8.7,65,1.0
251,-74.4,200,0.9545454545454546
252,-72.2,200,0.9545454545454546
253,-11.7,99,1.0
254,-14.3,113,1.0
255,-52.1,181,1.0
256,-39.5,161,1.0
257,-17.3,120,1.0
258,-6.1,94,1.0
259,-75.5,200,0.9090909090909091
260,-34.7,153,1.0
261,-54.5,192,1.0
262,-73.6,200,0.9545454545454546
263,-76.5,200,0.9090909090909091
264,10.3,60,1.0
265,-6.9,98,1.0
266,-15.7,113,1.0
267,-1.1,83,1.0
268,-22.7,127,1.0
269,-24.7,130,1.0
270,-20.7,127,1.0
271,-38.1,167,1.0
272,5.7,70,1.0
273,-19.3,113,1.0
274,-37.1,161,1.0
275,-72.0,200,0.9545454545454546
276,12.9,55,1.0
277,8.3,66,1.0
278,-34.5,152,1.0
279,11.9,55,1.0
280,-16.9,120,1.0
281,-0.7,81,1.0
282,-1.1,81,1.0
283,-33.3,148,1.0
284,-17.9,120,1.0
285,-3.5,87,1.0
286,0.9,76,1.0
287,-8.1,99,1.0
288,-73.0,200,0.9545454545454546
289,-23.9,126,1.0
290,9.3,61,1.0
291,-28.1,143,1.0
292,-74.2,200,0.9545454545454546
293,-73.2,200,0.9545454545454546
294,-17.9,123,1.0
295,-0.9,83,1.0
296,17.5,42,1.0
297,-78.5,200,0.9090909090909091
298,-22.7,136,1.0
299,13.3,55,1.0
300,7.9,63,1.0
301,-46.7,178,1.0
302,-51.1,193,1.0
303,-74.6,200,0.9545454545454546
304,5.5,71,1.0
305,3.5,75,1.0
306,-79.5,200,0.8181818181818182
307,-14.5,113,1.0
308,-73.0,200,0.9545454545454546
309,-22.5,124,1.0
310,-29.5,145,1.0
311,-22.1,128,1.0
312,0.5,79,1.0
313,-7.5,102,1.0
314,17.5,44,1.0
315,-33.5,157,1.0
316,-72.8,200,0.9545454545454546
317,-35.3,156,1.0
318,9.3,63,1.0
