episode,reward,length,coverage
0,123.3,1000,0.9943181818181818
1,121.2,1000,0.9971590909090909
2,331.1,512,1.0
3,239.4,813,1.0
4,122.3,1000,0.9971590909090909
5,211.8,909,1.0
6,326.6,528,1.0
7,111.2,1000,0.9801136363636364
8,118.2,1000,0.9857954545454546
9,117.7,1000,0.9943181818181818
10,121.6,1000,0.9914772727272727
11,261.5,739,1.0
12,252.8,777,1.0
13,119.6,1000,0.9857954545454546
14,306.3,601,1.0
15,121.6,1000,0.9914772727272727
16,196.2,965,1.0
17,124.5,1000,0.9971590909090909
18,265.7,730,1.0
19,49.4,1000,0.9034090909090909
20,222.0,875,1.0
21,121.5,1000,0.9943181818181818
22,87.5,1000,0.9375
23,113.0,1000,0.9914772727272727
24,89.0,1000,0.9460227272727273
25,124.1,1000,0.9971590909090909
26,109.3,1000,0.9886363636363636
27,124.5,1000,0.9971590909090909
28,119.8,1000,0.9857954545454546
29,308.1,579,1.0
30,121.5,1000,0.9886363636363636
31,118.5,1000,0.9829545454545454
32,113.2,1000,0.9857954545454546
33,239.1,820,1.0
34,68.4,1000,0.90625
35,117.1,1000,0.9943181818181818
36,192.4,978,1.0
37,91.5,1000,0.9261363636363636
38,115.1,1000,0.9886363636363636
39,77.9,1000,0.9545454545454546
40,102.5,1000,0.9886363636363636
41,114.5,1000,0.9829545454545454
42,186.7,993,1.0
43,123.7,1000,0.9971590909090909
44,266.1,703,1.0
45,117.7,1000,0.9914772727272727
46,123.8,1000,0.9971590909090909
47,124.5,1000,0.9971590909090909
48,122.7,1000,0.9914772727272727
49,-67.2,1000,0.7301136363636364
50,121.4,1000,0.9914772727272727
51,120.0,1000,0.9857954545454546
52,290.2,653,1.0
53,112.6,1000,0.9715909090909091
54,112.2,1000,0.96875
55,190.3,985,1.0
56,116.9,1000,0.9971590909090909
57,107.6,1000,0.9573863636363636
58,302.1,613,1.0
59,305.0,607,1.0
60,204.6,936,1.0
61,310.2,565,1.0
62,210.2,917,1.0
63,297.8,621,1.0
64,104.1,1000,0.9545454545454546
65,122.9,1000,0.9943181818181818
66,120.7,1000,0.9971590909090909
67,113.6,1000,0.9744318181818182
68,120.6,1000,0.9914772727272727
69,124.1,1000,0.9971590909090909
70,123.2,1000,0.9943181818181818
71,119.9,1000,0.9943181818181818
72,121.3,1000,0.9914772727272727
73,124.6,1000,0.9971590909090909
74,236.9,791,1.0
75,230.4,808,1.0
76,122.0,1000,0.9971590909090909
77,201.3,941,1.0
78,305.1,600,1.0
79,113.3,1000,0.9886363636363636
80,117.8,1000,0.9829545454545454
81,118.2,1000,0.9886363636363636
82,116.5,1000,0.9801136363636364
83,122.9,1000,0.9971590909090909
84,122.8,1000,0.9971590909090909
85,120.5,1000,0.9857954545454546
86,122.6,1000,0.9971590909090909
87,214.5,882,1.0
88,118.5,1000,0.9971590909090909
89,118.4,1000,0.9857954545454546
90,121.4,1000,0.9914772727272727
91,114.4,1000,0.9801136363636364
92,206.9,932,1.0
93,121.3,1000,0.9914772727272727
94,111.9,1000,0.9744318181818182
95,286.0,667,1.0
96,231.9,780,1.0
97,300.6,613,1.0
98,119.2,1000,0.9857954545454546
99,111.2,1000,0.96875
100,120.9,1000,0.9971590909090909
101,117.2,1000,0.9943181818181818
102,124.4,1000,0.9971590909090909
103,115.3,1000,0.9829545454545454
104,108.8,1000,0.9630681818181818
105,112.9,1000,0.9744318181818182
106,119.1,1000,0.9914772727272727
107,116.0,1000,0.9886363636363636
108,114.2,1000,0.9801136363636364
109,121.2,1000,0.9943181818181818
110,45.2,1000,0.8323863636363636
111,117.4,1000,0.9801136363636364
112,235.8,829,1.0
113,102.2,1000,0.9744318181818182
114,123.2,1000,0.9943181818181818
115,115.7,1000,0.9772727272727273
116,105.0,1000,0.9545454545454546
117,111.7,1000,0.96875
118,119.2,1000,0.9857954545454546
119,118.9,1000,0.9857954545454546
120,115.7,1000,0.9801136363636364
121,109.9,1000,0.9659090909090909
122,111.6,1000,0.96875
123,119.8,1000,0.9914772727272727
124,105.1,1000,0.9545454545454546
125,111.3,1000,0.96875
126,115.4,1000,0.9857954545454546
127,116.6,1000,0.9829545454545454
128,119.0,1000,0.9857954545454546
129,116.9,1000,0.9801136363636364
130,122.3,1000,0.9914772727272727
131,105.3,1000,0.9545454545454546
132,85.9,1000,0.9147727272727273
133,333.3,508,1.0
134,120.4,1000,0.9886363636363636
135,114.4,1000,0.9744318181818182
136,115.0,1000,0.9772727272727273
137,246.2,800,1.0
138,117.8,1000,0.9857954545454546
139,301.1,613,1.0
140,121.7,1000,0.9943181818181818
141,265.2,736,1.0
142,123.2,1000,0.9943181818181818
143,100.0,1000,0.9431818181818182
144,102.7,1000,0.9488636363636364
145,114.5,1000,0.9943181818181818
146,97.3,1000,0.9460227272727273
147,121.9,1000,0.9914772727272727
148,117.6,1000,0.9943181818181818
149,109.1,1000,0.9886363636363636
150,90.5,1000,0.9232954545454546
151,115.5,1000,0.9857954545454546
152,114.6,1000,0.9829545454545454
153,124.7,1000,0.9971590909090909
154,241.3,802,1.0
155,208.9,915,1.0
156,113.6,1000,0.9715909090909091
157,120.2,1000,0.9886363636363636
158,119.3,1000,0.9857954545454546
159,193.5,965,1.0
160,99.1,1000,0.9517045454545454
161,70.9,1000,0.9176136363636364
162,114.9,1000,0.9772727272727273
163,108.5,1000,0.9630681818181818
164,95.2,1000,0.9318181818181818
165,120.1,1000,0.9886363636363636
166,119.3,1000,0.9857954545454546
167,91.4,1000,0.9318181818181818
168,319.6,522,1.0
169,49.3,1000,0.8920454545454546
170,110.5,1000,0.9886363636363636
171,222.2,872,1.0
172,113.8,1000,0.9744318181818182
173,77.9,1000,0.9772727272727273
174,115.5,1000,0.9772727272727273
175,122.2,1000,0.9914772727272727
176,121.1,1000,0.9943181818181818
177,120.9,1000,0.9914772727272727
178,99.2,1000,0.9460227272727273
179,121.7,1000,0.9914772727272727
180,120.9,1000,0.9886363636363636
181,107.1,1000,0.9602272727272727
182,121.9,1000,0.9914772727272727
183,107.7,1000,0.9715909090909091
184,115.2,1000,0.9801136363636364
185,97.6,1000,0.9460227272727273
186,111.1,1000,0.96875
187,270.7,717,1.0
188,115.1,1000,0.9772727272727273
189,102.9,1000,0.9545454545454546
190,110.0,1000,0.9914772727272727
191,45.7,1000,0.8267045454545454
192,108.1,1000,0.9602272727272727
193,82.9,1000,0.9715909090909091
194,103.7,1000,0.9545454545454546
195,104.5,1000,0.9715909090909091
196,101.6,1000,0.9460227272727273
197,124.1,1000,0.9971590909090909
198,110.1,1000,0.9971590909090909
199,275.0,694,1.0
200,123.0,1000,0.9943181818181818
201,121.7,1000,0.9943181818181818
202,118.4,1000,0.9829545454545454
203,98.4,1000,0.9403409090909091
204,111.4,1000,0.9772727272727273
205,68.1,1000,0.8806818181818182
206,98.7,1000,0.9403409090909091
