episode,reward,length,coverage
0,54.7786,97,1.0
1,29.92285,157,1.0
2,-43.193712,200,0.8636363636363636
3,-40.984519,200,0.9545454545454546
4,32.704167,168,1.0
5,61.826274,70,1.0
6,-38.468069,200,0.9545454545454546
7,51.206177,101,1.0
8,-51.670377,200,0.9545454545454546
9,-38.386529,200,0.9545454545454546
10,48.984257,102,1.0
11,29.945477,169,1.0
12,32.494566,161,1.0
13,50.60547,101,1.0
14,-40.851583,200,0.9090909090909091
15,36.156084,156,1.0
16,-59.896131,200,0.7272727272727273
17,53.968701,93,1.0
18,-58.659063,200,0.7727272727272727
19,61.540416,73,1.0
20,-41.51593,200,0.9545454545454546
21,26.958614,180,1.0
22,-37.300783,200,0.9545454545454546
23,-43.109566,200,0.9545454545454546
24,-42.85724,200,0.9545454545454546
25,56.259508,89,1.0
26,68.79799,51,1.0
27,-39.371084,200,0.9545454545454546
28,-44.7428,200,0.9545454545454546
29,42.888202,122,1.0
30,29.100222,159,1.0
31,61.855973,71,1.0
32,41.280833,143,1.0
33,-40.251992,200,0.9090909090909091
34,-50.534724,200,0.8636363636363636
35,47.527092,123,1.0
36,32.3278,151,1.0
37,-41.430072,200,0.9545454545454546
38,31.724971,143,1.0
39,36.303051,144,1.0
40,-40.886231,200,0.9545454545454546
41,-49.567251,200,0.9545454545454546
42,-38.622294,200,0.9545454545454546
43,32.653255,159,1.0
44,-46.883105,200,0.9545454545454546
45,63.326981,65,1.0
46,21.045886,192,1.0
47,36.319723,160,1.0
48,56.147487,80,1.0
49,-45.214516,200,0.8636363636363636
50,-45.344214,200,0.8636363636363636
51,60.96163,73,1.0
52,34.90093,154,1.0
53,43.429214,134,1.0
54,50.918905,110,1.0
55,-45.258654,200,0.9545454545454546
56,51.803349,110,1.0
57,-39.154709,200,0.9545454545454546
58,66.995869,53,1.0
59,-42.266841,200,0.9090909090909091
60,-44.92635,200,0.8636363636363636
61,32.690732,171,1.0
62,-46.632193,200,0.9090909090909091
63,68.398697,50,1.0
64,-40.056942,200,0.9090909090909091
65,-42.767437,200,0.8636363636363636
66,50.360215,95,1.0
67,-38.221177,200,0.9545454545454546
68,42.154968,136,1.0
69,-38.116859,200,0.9545454545454546
70,41.057498,143,1.0
71,60.940416,74,1.0
72,19.20346,192,1.0
73,45.942947,123,1.0
74,31.160327,158,1.0
75,27.818718,188,1.0
76,-48.780984,200,0.9090909090909091
77,50.418905,114,1.0
78,36.43234,144,1.0
79,-36.58906,200,0.9545454545454546
80,54.311834,97,1.0
81,53.681428,91,1.0
82,49.071529,98,1.0
