episode,reward,length,coverage
0,54.0,97,1.0
1,29.5,157,1.0
2,31.5,161,1.0
3,-42.4,200,0.9090909090909091
4,32.2,168,1.0
5,43.1,121,1.0
6,-38.7,200,0.9545454545454546
7,-42.0,200,0.9090909090909091
8,-39.1,200,0.9545454545454546
9,25.5,190,1.0
10,29.5,169,1.0
11,51.3,100,1.0
12,-38.0,200,0.9545454545454546
13,42.6,133,1.0
14,-37.3,200,0.9545454545454546
15,33.3,138,1.0
16,30.9,173,1.0
17,39.4,134,1.0
18,-42.8,200,0.9545454545454546
19,23.4,183,1.0
20,37.3,140,1.0
21,33.5,162,1.0
22,48.0,111,1.0
23,51.9,98,1.0
24,-43.5,200,0.9545454545454546
25,69.8,47,1.0
26,50.9,105,1.0
27,-39.9,200,0.9545454545454546
28,-47.3,200,0.9090909090909091
29,52.3,106,1.0
30,45.8,114,1.0
31,34.7,168,1.0
32,40.9,134,1.0
33,45.0,112,1.0
34,49.8,105,1.0
35,-47.0,200,0.9545454545454546
36,65.4,56,1.0
37,57.5,80,1.0
38,62.5,70,1.0
39,53.3,93,1.0
40,66.8,54,1.0
41,-40.0,200,0.9545454545454546
42,44.6,123,1.0
43,33.1,160,1.0
44,24.9,197,1.0
45,65.3,63,1.0
46,65.1,62,1.0
47,57.3,85,1.0
48,-38.8,200,0.9545454545454546
49,58.3,83,1.0
50,58.0,79,1.0
51,-43.7,200,0.8636363636363636
52,36.5,155,1.0
53,47.4,125,1.0
54,-38.5,200,0.9545454545454546
55,36.7,157,1.0
56,44.6,126,1.0
57,59.9,83,1.0
58,-47.4,200,0.8636363636363636
59,71.7,44,1.0
60,42.7,128,1.0
61,40.3,128,1.0
62,-42.1,200,0.9545454545454546
63,59.7,78,1.0
64,56.8,90,1.0
65,58.4,81,1.0
66,29.7,177,1.0
67,51.6,111,1.0
68,-37.0,200,0.9545454545454546
69,38.6,124,1.0
70,58.9,86,1.0
71,62.2,69,1.0
72,55.0,88,1.0
73,-37.8,200,0.9545454545454546
74,65.7,56,1.0
75,-42.1,200,0.9545454545454546
76,55.6,93,1.0
77,-41.2,200,0.9090909090909091
78,60.9,72,1.0
79,19.0,187,1.0
80,38.6,132,1.0
81,-37.7,200,0.9545454545454546
82,-43.7,200,0.9545454545454546
83,62.1,72,1.0
84,59.2,75,1.0
85,37.0,153,1.0
86,57.8,82,1.0
87,-36.9,200,0.9545454545454546
88,69.8,48,1.0
89,59.3,77,1.0
90,59.3,81,1.0
91,60.5,74,1.0
92,67.5,55,1.0
93,55.1,97,1.0
94,65.1,62,1.0
95,47.7,117,1.0
96,50.8,109,1.0
97,61.6,79,1.0
98,69.1,48,1.0
99,59.0,79,1.0
100,54.6,92,1.0
101,-36.8,200,0.9545454545454546
102,69.0,47,1.0
103,67.0,55,1.0
104,48.3,117,1.0
105,61.2,78,1.0
106,70.7,43,1.0
107,61.9,74,1.0
108,58.5,79,1.0
109,47.5,109,1.0
110,68.1,51,1.0
111,-37.3,200,0.9545454545454546
112,58.1,75,1.0
113,40.7,141,1.0
114,56.2,84,1.0
115,24.8,197,1.0
116,67.4,54,1.0
117,55.5,84,1.0
118,72.3,40,1.0
119,61.7,75,1.0
120,-38.8,200,0.9545454545454546
121,42.0,141,1.0
122,-37.5,200,0.9545454545454546
123,61.4,79,1.0
124,45.6,123,1.0
125,41.6,144,1.0
126,62.6,70,1.0
127,54.0,85,1.0
128,62.6,70,1.0
129,60.0,78,1.0
130,-38.8,200,0.9090909090909091
131,48.1,114,1.0
132,74.6,34,1.0
133,74.1,34,1.0
134,60.0,74,1.0
135,58.7,79,1.0
136,60.6,70,1.0
137,61.1,76,1.0
138,-36.8,200,0.9545454545454546
139,-36.9,200,0.9545454545454546
140,64.9,65,1.0
141,66.3,55,1.0
142,70.7,47,1.0
143,59.7,85,1.0
144,64.7,58,1.0
145,69.8,47,1.0
146,64.1,60,1.0
147,-37.6,200,0.9545454545454546
148,61.4,67,1.0
149,58.5,80,1.0
150,56.4,90,1.0
151,52.8,99,1.0
152,67.6,52,1.0
153,67.9,52,1.0
154,69.0,49,1.0
155,58.9,86,1.0
156,65.8,64,1.0
157,65.9,59,1.0
158,60.4,78,1.0
159,70.8,46,1.0
160,-36.8,200,0.9545454545454546
161,62.0,73,1.0
162,55.9,94,1.0
163,54.9,86,1.0
164,56.1,95,1.0
165,42.9,131,1.0
166,69.8,48,1.0
167,64.9,63,1.0
168,69.7,46,1.0
169,31.3,174,1.0
170,48.2,110,1.0
171,69.7,47,1.0
172,54.5,88,1.0
173,63.1,69,1.0
174,69.4,50,1.0
175,57.0,92,1.0
176,56.7,90,1.0
177,40.9,126,1.0
178,55.7,93,1.0
179,38.8,148,1.0
180,62.1,73,1.0
181,68.7,52,1.0
182,-37.7,200,0.9545454545454546
183,76.5,28,1.0
184,67.6,57,1.0
185,64.6,63,1.0
186,68.6,55,1.0
187,70.2,46,1.0
188,73.4,39,1.0
189,37.7,148,1.0
190,-36.8,200,0.9545454545454546
191,75.0,34,1.0
192,70.1,48,1.0
193,68.6,52,1.0
194,72.2,41,1.0
195,57.9,85,1.0
196,73.3,38,1.0
197,74.0,36,1.0
198,55.6,91,1.0
199,73.4,37,1.0
200,74.3,34,1.0
201,65.7,64,1.0
202,48.5,102,1.0
203,73.5,40,1.0
204,71.0,48,1.0
205,62.6,67,1.0
206,40.0,143,1.0
207,48.8,101,1.0
208,70.2,48,1.0
209,59.5,81,1.0
210,-120.0,200,0.045454545454545456
211,33.8,166,1.0
212,59.9,82,1.0
213,59.5,85,1.0
214,67.6,57,1.0
215,67.8,58,1.0
216,67.8,56,1.0
217,63.6,64,1.0
218,59.2,83,1.0
219,53.0,98,1.0
220,47.1,127,1.0
221,64.4,68,1.0
222,49.7,108,1.0
223,-37.9,200,0.9545454545454546
224,71.1,44,1.0
225,65.5,61,1.0
226,75.7,31,1.0
227,69.7,47,1.0
228,69.0,52,1.0
229,45.6,129,1.0
230,71.7,41,1.0
231,73.3,37,1.0
232,57.8,78,1.0
233,53.1,105,1.0
234,72.4,42,1.0
235,67.7,58,1.0
236,62.7,64,1.0
237,68.6,49,1.0
238,63.4,71,1.0
239,73.4,37,1.0
240,42.4,141,1.0
241,66.8,60,1.0
242,63.6,66,1.0
243,59.2,83,1.0
244,69.4,52,1.0
245,39.3,150,1.0
246,36.1,150,1.0
247,67.1,60,1.0
248,66.5,60,1.0
249,74.0,35,1.0
250,74.3,35,1.0
251,57.0,93,1.0
252,48.6,120,1.0
253,74.3,36,1.0
254,73.0,38,1.0
255,52.5,98,1.0
256,75.2,33,1.0
257,23.2,162,1.0
258,-120.0,200,0.045454545454545456
259,73.4,37,1.0
260,-36.5,200,0.9545454545454546
261,65.1,65,1.0
262,66.4,55,1.0
263,30.2,145,1.0
264,68.3,55,1.0
265,71.0,48,1.0
266,69.4,51,1.0
267,67.0,55,1.0
268,70.2,44,1.0
269,68.9,47,1.0
270,70.4,48,1.0
271,-56.3,200,0.8636363636363636
272,56.6,94,1.0
273,70.8,44,1.0
274,54.7,95,1.0
275,54.8,93,1.0
276,70.6,47,1.0
277,64.7,58,1.0
278,70.4,47,1.0
279,72.4,40,1.0
280,61.0,80,1.0
281,-36.4,200,0.9545454545454546
282,73.5,36,1.0
283,71.3,43,1.0
284,46.9,118,1.0
285,68.9,54,1.0
286,37.2,155,1.0
287,71.2,45,1.0
288,63.1,68,1.0
289,74.6,34,1.0
290,77.0,27,1.0
291,64.7,66,1.0
292,61.0,80,1.0
293,69.6,51,1.0
294,72.8,41,1.0
295,68.6,54,1.0
296,72.9,39,1.0
297,44.6,134,1.0
298,69.8,47,1.0
299,66.4,58,1.0
300,67.1,59,1.0
301,70.1,44,1.0
302,74.0,35,1.0
303,62.3,74,1.0
304,70.9,49,1.0
305,64.9,66,1.0
306,75.4,32,1.0
307,71.2,44,1.0
308,74.4,36,1.0
309,72.7,39,1.0
310,67.7,57,1.0
311,55.6,95,1.0
312,-36.9,200,0.9545454545454546
313,56.6,93,1.0
314,70.3,44,1.0
315,70.8,49,1.0
316,64.7,66,1.0
317,71.9,44,1.0
318,74.0,37,1.0
319,63.6,71,1.0
320,72.0,43,1.0
321,74.9,35,1.0
322,67.2,55,1.0
323,-38.5,200,0.9090909090909091
324,75.7,31,1.0
325,68.0,56,1.0
326,69.4,48,1.0
327,58.2,82,1.0
328,71.3,41,1.0
329,69.7,47,1.0
330,67.8,57,1.0
331,-37.1,200,0.9545454545454546
332,75.7,31,1.0
333,61.3,77,1.0
334,68.7,54,1.0
335,68.4,54,1.0
336,72.9,40,1.0
337,67.8,55,1.0
338,75.8,31,1.0
339,60.9,77,1.0
340,73.1,40,1.0
341,73.6,37,1.0
342,72.4,40,1.0
343,-36.2,200,0.9545454545454546
344,73.0,41,1.0
345,50.6,112,1.0
346,61.7,66,1.0
347,70.2,49,1.0
348,33.2,171,1.0
349,74.6,35,1.0
350,71.1,43,1.0
351,69.8,50,1.0
352,67.9,50,1.0
353,68.9,49,1.0
354,73.2,41,1.0
355,57.2,93,1.0
356,64.6,63,1.0
357,60.5,77,1.0
358,73.6,38,1.0
359,73.5,40,1.0
360,61.2,75,1.0
361,68.6,53,1.0
362,69.7,50,1.0
363,72.6,43,1.0
364,55.3,98,1.0
365,58.3,85,1.0
366,74.7,36,1.0
367,70.1,44,1.0
368,75.3,33,1.0
369,73.5,36,1.0
370,59.8,81,1.0
371,77.3,26,1.0
372,-120.0,200,0.045454545454545456
373,56.0,90,1.0
374,62.0,77,1.0
375,-36.3,200,0.9545454545454546
376,75.0,33,1.0
377,72.8,39,1.0
378,73.3,39,1.0
379,66.0,55,1.0
380,76.5,29,1.0
381,25.1,198,1.0
382,68.0,57,1.0
383,71.6,45,1.0
384,63.2,71,1.0
385,68.1,56,1.0
386,67.4,53,1.0
387,74.6,36,1.0
388,74.2,36,1.0
389,71.6,44,1.0
390,-36.2,200,0.9545454545454546
391,75.4,32,1.0
392,63.4,72,1.0
393,59.6,81,1.0
394,61.3,67,1.0
395,72.5,39,1.0
396,77.0,28,1.0
397,40.9,117,1.0
398,71.5,45,1.0
399,65.6,66,1.0
400,74.9,33,1.0
401,70.3,45,1.0
402,74.8,33,1.0
403,66.0,62,1.0
404,-38.6,200,0.9090909090909091
405,77.4,27,1.0
406,75.5,33,1.0
407,73.7,38,1.0
408,60.9,73,1.0
409,30.7,178,1.0
410,72.0,41,1.0
411,68.9,51,1.0
412,72.0,42,1.0
413,71.1,47,1.0
414,49.2,118,1.0
415,70.3,50,1.0
416,76.7,29,1.0
417,71.8,43,1.0
418,71.2,42,1.0
419,67.6,56,1.0
420,76.0,31,1.0
421,75.4,32,1.0
422,75.1,33,1.0
423,66.3,57,1.0
424,73.8,36,1.0
425,-36.7,200,0.9545454545454546
426,70.3,46,1.0
427,71.2,44,1.0
428,73.9,37,1.0
429,73.4,37,1.0
430,76.4,29,1.0
431,-37.4,200,0.9090909090909091
432,66.7,59,1.0
433,72.5,43,1.0
434,70.1,50,1.0
435,69.3,46,1.0
436,70.8,48,1.0
437,74.5,36,1.0
438,69.8,51,1.0
439,77.3,27,1.0
440,76.7,29,1.0
441,65.5,64,1.0
442,51.6,103,1.0
443,72.2,39,1.0
444,73.1,39,1.0
445,65.1,65,1.0
446,74.6,34,1.0
447,74.7,35,1.0
448,77.9,25,1.0
449,71.4,43,1.0
450,58.4,89,1.0
451,69.2,53,1.0
452,72.5,38,1.0
453,63.1,62,1.0
454,75.6,32,1.0
455,63.4,68,1.0
456,41.1,145,1.0
457,67.3,59,1.0
458,59.7,82,1.0
459,67.5,52,1.0
460,63.7,63,1.0
461,68.4,53,1.0
462,59.7,86,1.0
463,72.0,40,1.0
464,70.4,49,1.0
465,69.3,54,1.0
466,76.5,29,1.0
467,68.3,54,1.0
468,65.7,62,1.0
469,75.7,32,1.0
470,76.4,29,1.0
471,66.7,59,1.0
472,73.6,37,1.0
473,68.0,58,1.0
474,70.3,50,1.0
475,62.1,64,1.0
476,70.3,48,1.0
477,72.9,38,1.0
478,74.9,33,1.0
479,75.9,31,1.0
480,77.7,25,1.0
481,75.2,33,1.0
482,67.9,57,1.0
483,77.1,28,1.0
484,60.2,82,1.0
485,72.0,43,1.0
486,75.5,32,1.0
487,76.0,31,1.0
488,71.0,47,1.0
489,73.4,39,1.0
490,63.2,72,1.0
491,76.9,27,1.0
492,78.4,24,1.0
493,75.8,32,1.0
494,62.2,75,1.0
495,67.7,56,1.0
496,75.3,34,1.0
497,77.0,27,1.0
498,69.4,53,1.0
499,58.6,81,1.0
500,69.9,51,1.0
501,77.0,27,1.0
502,64.5,60,1.0
503,74.2,36,1.0
504,51.5,109,1.0
505,73.5,38,1.0
506,69.4,50,1.0
507,53.7,91,1.0
508,75.1,33,1.0
509,59.7,80,1.0
510,72.7,40,1.0
511,76.9,28,1.0
512,75.1,34,1.0
513,66.9,59,1.0
514,57.4,92,1.0
515,70.0,50,1.0
516,72.7,38,1.0
517,59.2,87,1.0
518,71.5,46,1.0
519,75.8,32,1.0
520,76.8,28,1.0
521,74.3,35,1.0
522,63.4,72,1.0
523,77.5,26,1.0
524,69.5,51,1.0
525,-35.8,200,0.9545454545454546
526,-36.2,200,0.9545454545454546
527,75.0,32,1.0
528,69.5,49,1.0
529,63.7,61,1.0
530,72.4,41,1.0
531,73.5,39,1.0
532,71.9,44,1.0
533,74.9,34,1.0
534,57.4,90,1.0
535,69.1,52,1.0
536,69.3,53,1.0
537,72.6,41,1.0
538,73.5,40,1.0
539,-36.7,200,0.9545454545454546
540,64.9,57,1.0
541,74.2,36,1.0
542,61.7,77,1.0
543,77.9,25,1.0
544,69.8,45,1.0
545,75.1,32,1.0
546,69.7,45,1.0
547,75.6,31,1.0
548,77.2,27,1.0
549,75.5,32,1.0
550,71.7,46,1.0
551,74.2,34,1.0
552,53.5,101,1.0
553,77.1,27,1.0
